fontconfig	2.15.0-1.1ubuntu2	amd64
fontconfig-config	2.15.0-1.1ubuntu2	amd64
fonts-dejavu-core	2.37-8	all
fonts-dejavu-extra	2.37-8	all
fonts-dejavu-mono	2.37-8	all
fonts-droid-fallback	1:6.0.1r16-1.1build1	all
fonts-lato	2.015-1	all
fonts-liberation	1:2.1.5-3	all
fonts-liberation-sans-narrow	1:1.07.6-4	all
fonts-liberation2	1:2.1.5-3	all
fonts-lyx	2.4.0~RC3-1build4	all
fonts-noto-cjk	1:20230817+repack1-3	all
fonts-noto-color-emoji	2.047-0ubuntu0.24.04.1	all
fonts-noto-core	20201225-2	all
fonts-noto-mono	20201225-2	all
fonts-open-sans	1.11-2	all
fonts-ubuntu	0.869+git20240321-0ubuntu1	all
fonts-urw-base35	20200910-8	all
foomatic-db-compressed-ppds	20230202-1	all
fprintd	1.94.3-1	amd64
freeglut3-dev	3.4.0-1build1	amd64
friendly-recovery	0.2.42	all
ftp	20230507-2build3	all
fuse3	3.14.0-5build1	amd64
fwupd	2.0.20-1ubuntu2~24.04.2	amd64
fwupd-signed	1.52+1.4-1	amd64
g++	4:13.2.0-7ubuntu1	amd64
g++-13	13.3.0-6ubuntu2~24.04.1	amd64
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1	amd64
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1	amd64
gamemode	1.8.1-2build1	amd64
gamemode-daemon	1.8.1-2build1	amd64
gcc	4:13.2.0-7ubuntu1	amd64
gcc-13	13.3.0-6ubuntu2~24.04.1	amd64
gcc-13-base	13.3.0-6ubuntu2~24.04.1	amd64
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1	amd64
gcc-14-base	14.2.0-4ubuntu2~24.04.1	amd64
gcc-14-base	14.2.0-4ubuntu2~24.04.1	i386
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1	amd64
gcr	3.41.2-1build3	amd64
gcr4	4.2.0-5	amd64
gdal-data	3.8.4+dfsg-3ubuntu3	all
gdal-plugins	3.8.4+dfsg-3ubuntu3	amd64
gdb	15.1-1ubuntu1~24.04.1	amd64
gdisk	1.0.10-1build1	amd64
gdm3	46.2-1ubuntu1~24.04.9	amd64
geoclue-2.0	2.7.0-3ubuntu7	amd64
geocode-glib-common	3.26.3-6build3	all
gettext-base	0.21-14ubuntu2	amd64
